update,mean_cost,mean_advantage,policy_loss,entropy_loss,capacity_loss,hinge_loss,spread_loss,total_loss,priority_dropped,economy_dropped,val_rl_cost,best_val_cost
125,21019.375,-0.4038230159670626,0.4452454149723053,-14.443455696105957,8.144071728111157e-08,0.0812457874417305,4.2010698318481445,-9.71589469909668,0.0,109.875,,15572.225
126,17070.75,-0.2067430965454219,0.2795058786869049,-13.38581371307373,9.112159204960335e-08,0.11251995712518692,4.050187110900879,-8.94360065460205,0.0,104.75,,15572.225
127,13634.625,0.6624397959832244,-0.3698841333389282,-8.400884628295898,9.213240304006831e-08,0.16468343138694763,4.8703508377075195,-3.7357349395751953,0.0,80.25,,15572.225
128,18468.0,-0.33899080089861544,0.5592650771141052,-14.153456687927246,7.469213159083665e-08,0.09686660766601562,4.151767730712891,-9.34555721282959,0.0,108.875,,15572.225
129,15188.875,0.5793953693808331,-0.13894575834274292,-9.25762939453125,5.196977781452006e-08,0.11708403378725052,5.376274108886719,-3.9032163619995117,0.0,77.125,,15572.225
130,14528.0,0.5267945039286415,-0.3663894534111023,-9.11957836151123,6.773320393449467e-08,0.09225712716579437,3.870811700820923,-5.5228986740112305,0.0,78.375,17829.0,15572.225
131,19320.25,-0.35347475224860475,0.1676757037639618,-12.964316368103027,6.206234104411124e-08,0.10084228217601776,4.611550331115723,-8.084247589111328,0.0,103.5,,15572.225
132,18244.625,0.416491751325031,-0.10589459538459778,-10.157221794128418,8.071483392768641e-08,0.1093761995434761,5.021320819854736,-5.132420063018799,0.0,88.0,,15572.225
133,14778.0,0.23249385230938585,-0.060981400310993195,-10.11570930480957,8.496039782812659e-08,0.0983726754784584,3.8711442947387695,-6.207174301147461,0.0,84.0,,15572.225
134,17754.875,-0.14536947850528603,0.23145931959152222,-12.811981201171875,7.039120220042605e-08,0.07035534083843231,3.9176642894744873,-8.592501640319824,0.0,97.625,,15572.225
135,14721.75,0.4206337642788057,-0.17629116773605347,-10.14072322845459,6.909330352300458e-08,0.07938703894615173,4.329838752746582,-5.90778923034668,0.0,84.0,,15572.225
136,12906.375,0.2457294232431581,0.09716519713401794,-10.4331693649292,1.01113961648025e-07,0.09204214811325073,2.917048692703247,-7.326913833618164,0.0,84.625,,15572.225
137,22479.5,-0.6452266424243793,0.8021342158317566,-14.235224723815918,8.471845092117292e-08,0.060087911784648895,4.282698154449463,-9.090303421020508,0.0,110.5,,15572.225
138,22425.125,-0.15442131046946192,0.22809696197509766,-11.69731616973877,5.2814229434261506e-08,0.09106246381998062,6.068164825439453,-5.309991836547852,0.0,97.125,,15572.225
139,11421.75,0.23882706697637157,2.2823710441589355,-8.987929344177246,7.609867225255584e-08,0.12212081253528595,3.1778247356414795,-3.4056127071380615,0.0,80.75,,15572.225
140,17071.75,0.024213468465546575,0.1255454123020172,-11.777399063110352,8.727481315418117e-08,0.11906621605157852,4.15217399597168,-7.380613327026367,0.0,92.875,16107.375,15572.225
141,18931.625,0.06046064668546591,0.9988436102867126,-11.108560562133789,1.6013511583423679e-07,0.11393016576766968,4.741481304168701,-5.254306316375732,0.0,91.875,,15572.225
142,18306.375,-0.37794297394946563,0.4622212052345276,-13.04290771484375,6.259426754695596e-08,0.04806410148739815,3.872523307800293,-8.660099029541016,0.0,105.25,,15572.225
143,14813.125,0.27976165319166474,-0.0940774530172348,-10.033465385437012,6.288831855272292e-08,0.07040958851575851,4.637162208557129,-5.419970512390137,0.0,87.125,,15572.225
144,17975.5,-0.0905283627369077,0.07685500383377075,-11.649947166442871,8.007327778614126e-08,0.10037524253129959,4.151451587677002,-7.321265697479248,0.0,97.25,,15572.225
145,17174.625,0.3072700132795453,-0.106209896504879,-10.109659194946289,6.413259256987658e-08,0.12304778397083282,5.245874881744385,-4.8469462394714355,0.0,85.625,,15572.225
146,14674.0,0.2832713435967603,-0.22696805000305176,-8.851734161376953,6.08306152116711e-08,0.09348741173744202,4.928042888641357,-4.05717134475708,0.0,79.125,,15572.225
147,16589.625,-0.4401007960112656,0.42976927757263184,-13.1265230178833,5.2215114010323305e-08,0.05421524494886398,3.6935245990753174,-8.949013710021973,0.0,101.375,,15572.225
148,12610.875,-0.03549318815009278,0.12792183458805084,-10.935606956481934,1.0085720703045808e-07,0.06728892028331757,1.411726951599121,-9.328668594360352,0.0,96.375,,15572.225
149,15471.625,0.3628186173418431,0.5263839364051819,-9.043493270874023,7.037369442741692e-08,0.06628390401601791,5.1987433433532715,-3.2520813941955566,0.0,83.0,,15572.225
150,17751.875,0.26227570535486056,-0.1218474805355072,-9.9572172164917,5.8730257990191603e-08,0.07626286894083023,5.153790473937988,-4.849011421203613,0.0,82.75,18533.275,15572.225
151,16789.5,-0.11604613290677808,0.2764444351196289,-10.586402893066406,1.0479642043037529e-07,0.10703025013208389,4.4600958824157715,-5.742832660675049,0.0,90.5,,15572.225
152,15290.875,-0.38075220452854996,0.7907527685165405,-12.996668815612793,8.862302536272182e-08,0.1360994279384613,4.282232284545898,-7.78758430480957,0.0,100.0,,15572.225
153,17298.75,-0.2717754032009927,0.43918806314468384,-12.475542068481445,8.709450582955469e-08,0.10920792818069458,4.78679895401001,-7.140347003936768,0.0,101.625,,15572.225
