epoch,train_loss,train_ce,train_weight_pen,train_volume_pen,val_loss,val_weight_pen,val_volume_pen,train_acc,val_acc,priority_acc,lr
115,0.833973,0.786981,3.412867,15.383783,0.80937,3.601741,16.76693,0.7065,0.714,0.6889,2.086e-05
116,0.832707,0.78579,3.403082,15.363714,0.8072,3.696852,16.916199,0.7075,0.718,0.6933,2.072e-05
117,0.832473,0.785589,3.413042,15.340323,0.806624,3.616641,16.638359,0.7084,0.7159,0.6884,2.058e-05
118,0.829837,0.783222,3.391364,15.254593,0.816733,3.820166,17.419035,0.7088,0.7167,0.687,2.044e-05
119,0.830921,0.784017,3.40832,15.353048,0.811289,3.711109,17.079667,0.7078,0.7174,0.6926,2.03e-05
120,0.831567,0.784712,3.407059,15.33468,0.806485,3.693675,16.902928,0.7091,0.7189,0.6933,2.015e-05
121,0.832067,0.785247,3.397351,15.330783,0.809964,3.721448,17.098478,0.7079,0.7158,0.6884,2.001e-05
122,0.831105,0.784177,3.418674,15.352637,0.810395,3.590383,16.681355,0.7084,0.7153,0.6931,1.987e-05
123,0.830383,0.783531,3.407738,15.332851,0.810997,3.611154,16.753487,0.7097,0.7152,0.6716,1.973e-05
124,0.828028,0.78118,3.417436,15.321849,0.805453,3.652722,16.773062,0.7107,0.7181,0.6912,1.958e-05
125,0.829057,0.782297,3.415687,15.288188,0.805562,3.62916,16.697704,0.7106,0.7191,0.6985,1.944e-05
126,0.827425,0.780647,3.411345,15.299648,0.806366,3.640096,16.668526,0.7098,0.7174,0.6969,1.929e-05
127,0.829093,0.782258,3.418614,15.315068,0.81273,3.672386,16.966802,0.7095,0.7184,0.6974,1.915e-05
128,0.825773,0.779262,3.392189,15.212123,0.80955,3.775301,17.141208,0.7117,0.72,0.7037,1.9e-05
129,0.828154,0.781451,3.419055,15.261934,0.80846,3.738701,17.110409,0.7104,0.7203,0.6995,1.886e-05
130,0.825114,0.778538,3.404485,15.225777,0.799445,3.658683,16.731014,0.7115,0.7206,0.7007,1.871e-05
131,0.826812,0.780242,3.406214,15.221911,0.802918,3.735122,16.949098,0.7112,0.7242,0.7054,1.857e-05
132,0.826137,0.779827,3.390844,15.133076,0.810703,3.725624,16.881021,0.7109,0.7175,0.6933,1.842e-05
133,0.825368,0.778836,3.402751,15.210006,0.802491,3.75899,17.047034,0.7112,0.724,0.7068,1.827e-05
134,0.824359,0.777605,3.423431,15.278194,0.802936,3.571163,16.25,0.7126,0.7204,0.7016,1.813e-05
135,0.823535,0.777152,3.407877,15.145371,0.808995,3.714905,16.968466,0.7115,0.7186,0.6959,1.798e-05
136,0.820408,0.774095,3.403356,15.121808,0.801035,3.73065,16.723329,0.7137,0.7218,0.6997,1.783e-05
137,0.822532,0.776083,3.418767,15.160982,0.801988,3.614965,16.453667,0.7129,0.7189,0.7,1.768e-05
138,0.819614,0.773132,3.416769,15.176211,0.801589,3.645558,16.470307,0.7132,0.7216,0.7073,1.754e-05
139,0.821422,0.775323,3.395597,15.044297,0.795185,3.621628,16.349266,0.7128,0.7235,0.7077,1.739e-05
140,0.819994,0.773626,3.411241,15.136053,0.798259,3.563845,16.251279,0.7136,0.7204,0.6919,1.724e-05
141,0.821707,0.775486,3.404169,15.084075,0.801126,3.740013,16.834104,0.7124,0.7251,0.7061,1.709e-05
142,0.819838,0.773358,3.431251,15.160717,0.798224,3.659957,16.599186,0.7138,0.7231,0.7023,1.694e-05
143,0.818856,0.772675,3.408592,15.063761,0.810017,3.732918,16.778785,0.7135,0.7201,0.695,1.679e-05
144,0.818018,0.771693,3.425164,15.104949,0.799799,3.581774,16.387317,0.7146,0.7209,0.6959,1.664e-05
145,0.81848,0.772374,3.404504,15.037987,0.799639,3.760034,16.944111,0.7137,0.7243,0.7073,1.65e-05
146,0.819958,0.773621,3.430539,15.104365,0.79765,3.747256,16.78131,0.7142,0.726,0.7096,1.635e-05
147,0.816323,0.770135,3.42275,15.052495,0.796421,3.687133,16.578176,0.7151,0.7261,0.7144,1.62e-05
148,0.81653,0.770403,3.410498,15.040252,0.800737,3.708768,16.665057,0.7156,0.7236,0.704,1.605e-05
149,0.817731,0.771881,3.398286,14.941843,0.811022,3.807781,16.993516,0.7153,0.7238,0.7028,1.59e-05
150,0.815028,0.769131,3.396666,14.962304,0.801003,3.831843,17.028116,0.7153,0.7286,0.7089,1.575e-05
151,0.813625,0.767737,3.397372,14.957725,0.794276,3.710002,16.621431,0.7167,0.7269,0.7115,1.56e-05
152,0.813019,0.767102,3.418305,14.94858,0.789886,3.641896,16.373516,0.7168,0.7264,0.707,1.545e-05
153,0.815249,0.769324,3.410156,14.959849,0.794107,3.724206,16.567851,0.7165,0.7262,0.711,1.53e-05
154,0.815335,0.769365,3.408183,14.980151,0.79216,3.706505,16.420508,0.7168,0.7274,0.7136,1.515e-05
155,0.809666,0.76378,3.42943,14.924918,0.799049,3.736464,16.714516,0.7184,0.7254,0.7092,1.5e-05
156,0.812742,0.766534,3.425291,15.057926,0.787977,3.623188,16.19545,0.7168,0.7278,0.7155,1.486e-05
157,0.812365,0.766549,3.412635,14.913709,0.792871,3.724771,16.576594,0.7166,0.7271,0.7146,1.471e-05
158,0.810112,0.764333,3.415721,14.896055,0.787336,3.611124,16.162094,0.7185,0.7264,0.7144,1.456e-05
159,0.80993,0.764062,3.415691,14.931626,0.796743,3.706435,16.596483,0.7182,0.7255,0.7077,1.441e-05
160,0.810583,0.764865,3.405674,14.881596,0.787744,3.743643,16.496405,0.7173,0.7292,0.7188,1.426e-05
161,0.80694,0.761213,3.417986,14.872926,0.79429,3.807111,16.798166,0.719,0.7313,0.7151,1.411e-05
162,0.809626,0.763857,3.426416,14.880965,0.792659,3.696641,16.518706,0.7191,0.7254,0.7122,1.396e-05
