update,mean_cost,mean_advantage,policy_loss,entropy_loss,capacity_loss,hinge_loss,spread_loss,contrastive_loss,imitation_loss,total_loss,priority_dropped,economy_dropped,val_rl_cost,best_val_cost
110,21780.25,-0.18270424811193078,0.3578621745109558,-11.774744987487793,6.815117359337819e-08,0.09462479501962662,0.07342908531427383,4.579840183258057,4.515242099761963,-2.1537461280822754,0.0,96.125,11011.375,11011.375
111,23190.125,-1.01596333550997,0.9877194762229919,-16.507959365844727,8.675199580920889e-08,0.09710206836462021,0.0691685676574707,2.661604642868042,5.6153178215026855,-7.0770463943481445,0.0,125.875,,11011.375
112,12778.25,0.38093528282711453,1.4785711765289307,-9.541282653808594,7.646470834288266e-08,0.09283819794654846,0.040678080171346664,9.6990385055542,4.542917728424072,6.312760829925537,0.0,86.375,,11011.375
113,13931.625,0.7017697107568887,-0.20642118155956268,-8.894966125488281,4.810605958027736e-08,0.08732977509498596,0.052267950028181076,6.167445182800293,3.6558837890625,0.8615398406982422,0.0,70.5,,11011.375
114,15603.75,0.028118585179230687,0.25091397762298584,-11.070233345031738,5.1640959952692356e-08,0.10149040073156357,0.06427369266748428,7.015015602111816,3.991196393966675,0.35265684127807617,0.0,89.875,,11011.375
115,10769.875,0.6122310385274488,-0.4089651107788086,-7.408378601074219,3.265356696147137e-08,0.10631995648145676,0.042705900967121124,9.249553680419922,2.0924787521362305,3.6737146377563477,0.0,69.875,,11011.375
116,21877.25,-0.359206489118891,0.4342048466205597,-13.730514526367188,6.50982130423472e-08,0.09535164386034012,0.07500006258487701,1.3830410242080688,6.798399925231934,-4.944516658782959,0.0,100.375,,11011.375
117,19645.375,-0.6877011437361316,2.1266937255859375,-13.133371353149414,5.6763447275898216e-08,0.1020943894982338,0.06144890934228897,6.377114295959473,4.783185958862305,0.3171658515930176,0.0,113.0,,11011.375
118,27125.5,-0.8460442270707318,1.196421504020691,-17.292776107788086,4.249777063591864e-08,0.09529145807027817,0.12503811717033386,0.371968150138855,7.864123344421387,-7.639934539794922,0.0,114.625,,11011.375
119,20329.75,-0.7658521575087562,1.627763032913208,-17.37124252319336,1.005741196991039e-07,0.10293588787317276,0.047393232583999634,2.1136977672576904,2.489412784576416,-10.990039825439453,0.0,126.625,,11011.375
120,15679.25,0.48318163673237147,-0.20609137415885925,-9.957380294799805,4.7799492364219986e-08,0.09241192787885666,0.04527277871966362,7.3928022384643555,5.4867262840271,2.8537421226501465,0.0,81.0,12537.35,11011.375
121,23335.875,-0.33723355076389694,0.5557560324668884,-14.887982368469238,5.523655488559598e-08,0.08159879595041275,0.0621592216193676,3.0984787940979004,4.253409385681152,-6.8365797996521,0.0,105.25,,11011.375
122,19015.5,0.24472644739934904,-0.14279547333717346,-11.095025062561035,6.728942736344834e-08,0.09127597510814667,0.07678563892841339,5.1551923751831055,5.070860385894775,-0.8437061309814453,0.0,93.875,,11011.375
123,17304.25,0.5342923225942191,-0.12707680463790894,-10.882403373718262,5.121234636362715e-08,0.09893446415662766,0.08840396255254745,5.938480377197266,4.8434038162231445,-0.04025745391845703,0.0,83.875,,11011.375
124,12068.875,0.8980591393946621,-0.4589649438858032,-7.3249711990356445,4.361050898182839e-08,0.09029494971036911,0.04929095506668091,9.620502471923828,2.7475855350494385,4.723738193511963,0.0,64.625,,11011.375
125,19257.375,-0.32280768899796286,0.33317896723747253,-14.340545654296875,5.727061846982906e-08,0.08749180287122726,0.04715521261096001,3.026090145111084,4.997949123382568,-5.8486809730529785,0.0,103.0,,11011.375
126,24846.375,-0.08379488871447466,0.41251009702682495,-11.452366828918457,7.754952235927703e-08,0.060958266258239746,0.05385785922408104,8.513354301452637,10.942879676818848,8.531192779541016,0.0,94.5,,11011.375
127,15796.625,-0.05553372831083181,0.7687591314315796,-12.081416130065918,4.61773694837575e-08,0.0834672600030899,0.04466405138373375,1.4573583602905273,5.501242637634277,-4.225924968719482,0.0,95.875,,11011.375
128,16340.5,-0.07367531605469295,0.3703576922416687,-11.546510696411133,1.0687881513149478e-07,0.09121736139059067,0.07821053266525269,6.829067230224609,5.483603477478027,1.3059453964233398,0.0,96.375,,11011.375
129,19622.75,0.4168699754025748,-0.18789473176002502,-8.432538032531738,5.8620639009632214e-08,0.09229687601327896,0.06903611868619919,7.070076942443848,5.404739856719971,4.015716552734375,0.0,80.625,,11011.375
